,station_name,poi_count,num_bikes
204,"Spring Garden Station, MFL",4,10
205,Temple University Station,1,7
206,The Children's Hospital of Philadelphia (CHOP),2,4
207,Thompson & Franklin,2,4
208,University City Station,1,5
209,Walnut & Rittenhouse,4,8
210,Water & Mifflin,1,9
211,"Welcome Park, NPS",7,12
212,York & Aramingo,1,10
213,"York-Dauphin Station, MFL",4,12
